A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          0,          0, 2, 0,          0,0,0,0
         -1,         -1, 2, 0,         -1,0,0,0
         -1,          0, 2, 0,          0,1,1,0
          0,         -1, 2, 0,          0,1,0,0
   12345678,   87654321, 2, 0,    3694848,1,1,0
         -1,          1, 2, 0,          1,1,1,0
          1,         -1, 2, 0,          1,1,0,0
         -1,         -2, 2, 0,         -2,1,0,0
         -1,-1431655766, 2, 0,-1431655766,1,0,0
 1431655765,-1431655766, 2, 0,          0,1,0,0
 2147483647,          1, 2, 0,          1,1,0,0
 2147483647, 2147483647, 2, 0, 2147483647,0,0,0
      32768,      32768, 2, 0,      32768,0,0,0
      65535,      32768, 2, 0,      32768,1,0,0
         15,          7, 2, 0,          7,1,0,0
          8,          4, 2, 0,          0,1,0,0
         32,         16, 2, 0,          0,1,0,0
-2147483648,          1, 2, 0,          0,1,1,0
         -1,        -16, 2, 0,        -16,1,0,0
  123456789,  987654321, 2, 0,   39471121,1,1,0
  987654321,  123456789, 2, 0,   39471121,1,0,0
  305419896,  145074450, 2, 0,    2359312,1,0,0
  987654321,         -1, 2, 0,  987654321,1,0,0
         -1,  987654321, 2, 0,  987654321,1,1,0
          0,  123456789, 2, 0,          0,1,1,0
  123456789,          0, 2, 0,          0,1,0,0
         -1, 2147483647, 2, 0, 2147483647,1,1,0
          1,          2, 2, 0,          0,1,1,0
          4,          8, 2, 0,          0,1,1,0
 2147483647,-2147483648, 2, 0,          0,1,0,0
