A,B,Opcode,ShiftAmount,Result,isNE,isLT,Overflow
0, 0, 2, 0, 0, 0, 0, 0
4294967295, 4294967295, 2, 0, 4294967295, 1, 0, 0
4294967295, 0, 2, 0, 0, 0, 0, 0
0, 4294967295, 2, 0, 0, 0, 0, 0
12345678, 87654321, 2, 0, 3694848, 1, 0, 0
4294967295, 1, 2, 0, 1, 1, 0, 0
1, 4294967295, 2, 0, 1, 1, 0, 0
4294967295, 4294967294, 2, 0, 4294967294, 1, 0, 0
4294967295, 2863311530, 2, 0, 2863311530, 1, 0, 0
1431655765, 2863311530, 2, 0, 0, 0, 0, 0
2147483647, 1, 2, 0, 1, 1, 0, 0
2147483647, 2147483647, 2, 0, 2147483647, 1, 0, 0
32768, 32768, 2, 0, 32768, 1, 0, 0
65535, 32768, 2, 0, 32768, 1, 0, 0
15, 7, 2, 0, 7, 1, 0, 0
8, 4, 2, 0, 0, 0, 0, 0
32, 16, 2, 0, 0, 0, 0, 0
2147483648, 1, 2, 0, 0, 0, 0, 0
4294967295, 4294967280, 2, 0, 4294967280, 1, 0, 0
123456789, 987654321, 2, 0, 39471121, 1, 0, 0
987654321, 123456789, 2, 0, 39471121, 1, 0, 0
305419896, 145074450, 2, 0, 2359312, 1, 0, 0
987654321, 4294967295, 2, 0, 987654321, 1, 0, 0
4294967295, 987654321, 2, 0, 987654321, 1, 0, 0
0, 123456789, 2, 0, 0, 0, 0, 0
123456789, 0, 2, 0, 0, 0, 0, 0
4294967295, 2147483647, 2, 0, 2147483647, 1, 0, 0
1, 2, 2, 0, 0, 0, 0, 0
4, 8, 2, 0, 0, 0, 0, 0
2147483647, 2147483648, 2, 0, 0, 0, 0, 0
