A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
         10,         10, 1, 0,          0,0,0,0
        123,        456, 1, 0,       -333,1,1,0
     987654,     987654, 1, 0,          0,0,0,0
 2147483647, 2147483647, 1, 0,          0,0,0,0
-2147483648,-2147483648, 1, 0,          0,0,0,0
    5000000,   10000000, 1, 0,   -5000000,1,1,0
        250,        300, 1, 0,        -50,1,1,0
        250,        250, 1, 0,          0,0,0,0
      32767,     -32768, 1, 0,      65535,1,0,0
          0,          1, 1, 0,         -1,1,1,0
 1000000000, 1000000000, 1, 0,          0,0,0,0
 2147483647,-2147483648, 1, 0,         -1,1,0,1
       1111,       1111, 1, 0,          0,0,0,0
       1024,       2048, 1, 0,      -1024,1,1,0
      65536,      65536, 1, 0,          0,0,0,0
         -1,         -1, 1, 0,          0,0,0,0
    -100000,    -200000, 1, 0,     100000,1,0,0
     314159,     314159, 1, 0,          0,0,0,0
     271828,     314159, 1, 0,     -42331,1,1,0
       5555,       6666, 1, 0,      -1111,1,1,0
     123456,     123456, 1, 0,          0,0,0,0
          1,          1, 1, 0,          0,0,0,0
       1024,       1025, 1, 0,         -1,1,1,0
  123456789,  123456789, 1, 0,          0,0,0,0
  987654321,  987654320, 1, 0,          1,1,0,0
          0,         -1, 1, 0,          1,1,0,0
 2147483646, 2147483646, 1, 0,          0,0,0,0
         -1,         -1, 1, 0,          0,0,0,0
 2147483647,          0, 1, 0, 2147483647,1,0,0
-2147483648,-2147483648, 1, 0,          0,0,0,0
