A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          0,          0, 5, 0,          0,0,0,0
         -1,          0, 5, 1,         -1,1,1,0
  123456789,          0, 5, 1,   61728394,1,0,0
  123456789,          0, 5, 3,   15432098,1,0,0
  987654321,          0, 5, 4,   61728395,1,0,0
  305419896,          0, 5, 2,   76354974,1,0,0
       9876,          0, 5, 2,       2469,1,0,0
       4096,          0, 5,10,          4,1,0,0
     131072,          0, 5, 7,       1024,1,0,0
         16,          0, 5, 4,          1,1,0,0
   12345678,          0, 5, 5,     385802,1,0,0
  356985241,          0, 5, 3,   44623155,1,0,0
       1024,          0, 5, 6,         16,1,0,0
 2147483647,          0, 5, 1, 1073741823,1,0,0
      65535,          0, 5, 3,       8191,1,0,0
        100,          0, 5,11,          0,1,0,0
       4096,          0, 5, 5,        128,1,0,0
  999999999,          0, 5,16,      15258,1,0,0
       2048,          0, 5,10,          2,1,0,0
     234560,          0, 5, 6,       3665,1,0,0
        512,          0, 5, 6,          8,1,0,0
  876543210,          0, 5, 1,  438271605,1,0,0
  324567891,          0, 5, 4,   20285493,1,0,0
      56789,          0, 5, 7,        443,1,0,0
    2347891,          0, 5, 5,      73371,1,0,0
     654321,          0, 5,10,        638,1,0,0
   23456789,          0, 5, 3,    2932098,1,0,0
      34567,          0, 5,12,          8,1,0,0
       5432,          0, 5, 3,        679,1,0,0
    7654321,          0, 5, 4,     478395,1,0,0
