d22,b22,cbb,877,a99,1bb,888,911
bbb,b55,c99,699,a88,c66,b88,966
d55,6aa,a77,c11,6bb,966,a88,c55
b77,caa,3aa,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
