012,5B8,056,E12,EE6,497,BC6,023
FFF,144,D12,476,7A6,344,899,DEE
376,566,365,077,034,033,D22,412
099,784,AB5,D33,B12,455,066,088
055,BB7,343,696,712,DD6,EF6,CC6
786,674,234,676,254,586,A65,894
563,B23,896,353,9A6,812,453,9B6
C43,4A7,212,E32,734,DE6,BC5,565
266,456,445,E22,788,233,666,CD5
ABB,795,DE5,375,AA7,886,386,E84
E53,834,C44,CDD,933,CC5,E74,B54
644,B33,9A5,574,954,E43,665,434
C95,433,633,D64,EB5,9AA,944,723
655,6B8,975,DA5,AA5,943,EC5,CB5
822,E63,D85,ED6,A75,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
