012,5B8,453,365,056,300,7A6,784
243,F00,BB5,111,476,D00,496,122
400,A00,BC6,EE6,800,895,211,674
700,144,133,574,254,564,DD6,034
9B6,233,4A7,C22,422,E11,AB6,454
386,9A5,312,F33,486,CC6,CC5,AA5
244,686,E22,795,266,143,696,376
D11,8A6,411,322,101,375,412,ED6
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000
